location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Buckman East,97214,,,10/17/20,615,Burglary,10,,,Burglary,1,
Sellwood-Moreland,97202,,,2/10/20,725,Fraud Offenses,1,,,Identity Theft,1,
Buckman East,97214,,,4/8/20,101,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,9/14/20,2320,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Buckman West,97214,,,2/27/20,237,Vandalism,4,,,Vandalism,1,
Buckman West,97214,,,10/20/20,1545,Burglary,10,,,Burglary,1,
Buckman West,97214,,,10/20/20,1545,Larceny Offenses,5,,,Theft From Building,1,
Buckman West,97214,,,10/22/20,1130,Larceny Offenses,5,,,Shoplifting,1,
Buckman West,97214,,,11/24/20,830,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,10/16/20,2150,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,11/3/20,1648,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Downtown,97205,,,1/28/20,402,Larceny Offenses,5,,,All Other Larceny,1,
Downtown,97205,,,1/30/20,1200,Larceny Offenses,5,,,Theft From Building,1,
Downtown,97205,,,3/6/20,2000,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Downtown,97205,,,4/15/20,1700,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Downtown,97205,,,1/7/20,1645,Larceny Offenses,5,,,Theft From Building,1,
Downtown,97205,,,1/25/20,1650,Larceny Offenses,5,,,Theft From Building,1,
Downtown,97205,,,6/19/20,825,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,7/29/20,2156,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,9/6/20,1602,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,9/17/20,635,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,5/30/20,1700,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,5/31/20,1012,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,11/1/20,1147,Burglary,10,,,Burglary,1,
Downtown,97205,,,5/30/20,1700,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,5/30/20,1700,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,3/31/20,800,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Downtown,97205,,,2/20/20,2100,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,5/17/20,1608,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,5/26/20,31,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,,,7/5/20,1507,Larceny Offenses,5,,,All Other Larceny,1,
Downtown,97205,,,3/7/20,1050,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Downtown,97205,,,6/22/20,200,Burglary,10,,,Burglary,1,
Downtown,97205,,,8/22/20,2300,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,8/22/20,2245,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,1/23/20,5,Larceny Offenses,5,,,Purse-Snatching,1,
Downtown,97205,,,6/18/20,550,Burglary,10,,,Burglary,1,
Downtown,97205,,,6/18/20,550,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,8/31/20,1550,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,9/14/20,2307,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,,,11/8/20,1520,Assault Offenses,10,,,Simple Assault,1,
